id,case_id,title,source,url,date,snippet,block,narrative_stage,source_type_scale,article_tone,situation_presentation,forecast_presence,forecast_type,forecast_detail_level,hash
ns_int_134,nord_stream,"Intelligence Suggests Pro-Ukrainian Group Sabotaged Pipelines, U.S ...",New York Times,https://www.nytimes.com/2023/03/07/us/politics/nord-stream-pipeline-sabotage-ukraine.html,2023-03-07,"Intelligence Suggests Pro-Ukrainian Group Sabotaged Pipelines, U.S ...",international,N3,0.8,informational,neutral,False,,,482099b8d595
ns_int_126,nord_stream,Nord Stream 2: how Putin&#x27;s pipeline paralysed the west,The Guardian,https://www.theguardian.com/world/2021/dec/23/nord-stream-2-how-putins-pipeline-paralysed-the-west,2022-2024,Nord Stream 2: how Putin&#x27;s pipeline paralysed the west,international,N2,0.8,informational,neutral,False,,,768610f8adb6
ns_ru_042,nord_stream,Zeit сообщила о «явных связях» подорвавших «Северные потоки» с Украиной,rbc.ru,https://www.rbc.ru/politics/27/08/2025/68af2c369a7947886908eaf3,2022-09-26,Snippet not available,russian,N3,0.7,informational,neutral,False,,,38c6b7c4e8d1
ns_ru_003,nord_stream,"На &quot;Северных потоках&quot; было два взрыва, сообщили СМИ",ria.ru,https://ria.ru/20220930/vzryvy-1820520790.html,2022-09-26,Snippet not available,russian,N2,0.7,informational,neutral,False,,,e030cc500959
ns_ru_044,nord_stream,В ФРГ отказались раскрыть данные ... - РБК,rbc.ru,https://www.rbc.ru/rbcfreenews/68b5a0cb9a794765761b4281,2022-09-26,Snippet not available,russian,N2,0.7,informational,neutral,False,,,b9624a4a5bce
ns_ru_050,nord_stream,Bloomberg предположил отход на подлодке после взрыва на «Северном ...,rbc.ru,https://www.rbc.ru/rbcfreenews/6442608d9a794732fc39a3f0,2022-09-26,Snippet not available,russian,N2,0.7,informational,neutral,False,,,93ebe83ad107
ns_ru_039,nord_stream,Дело о международном терроризме возбудили по факту повреждения ...,iz.ru,https://iz.ru/1402670/2022-09-28/delo-o-mezhdunarodnom-terrorizme-vozbudili-po-faktu-povrezhdeniia-severnykh-potokov,2022-09-26,Snippet not available,russian,N2,0.5,informational,neutral,False,,,6f76518e3330
ns_ru_047,nord_stream,Прокуратура Швеции закрыла расследование диверсий на «Северных потоках ...,rbc.ru,https://www.rbc.ru/politics/07/02/2024/65c349df9a79473625eef428,2022-09-26,Snippet not available,russian,N2,0.7,informational,neutral,False,,,17b955c05803
ns_ru_074,nord_stream,"Медведев: взрывы на «Северных потоках» — теракт, организованный США",ria.ru,https://ria.ru/20230209/medvedev-1929258517.html,2023-02-09,"Заместитель председателя Совета безопасности РФ Дмитрий Медведев назвал взрывы на «Северных потоках» террористическим актом, организованным Соединенными Штатами Америки.",russian,N4,0.7,informational,neutral,False,,,5ad75cd24c7d
ns_ru_008,nord_stream,Мощные взрывы зафиксированы в районе &quot;Северного потока&quot; — сейсмоцентр ...,ria.ru,https://crimea.ria.ru/20220927/moschnye-vzryvy-zafiksirovany-v-rayone-severnogo-potoka--seysmotsentr-1124642003.html,2022-09-26,Snippet not available,russian,N2,0.7,informational,neutral,False,,,3c0765cc1220
ns_ru_022,nord_stream,Кто взорвал Северные потоки: ответ эксперта,sputniknews.ru,https://tj.sputniknews.ru/20220928/north-stream-vzryvy-gazovaya-voyna-1051724268.html,2022-09-26,"Двумя заинтересованными сторонами, то есть Россией и Германией, признан не только факт аварии - ее также практически безальтернативно трактуют как диверсию",russian,N2,0.5,informational,neutral,False,,,f6325e787d8e
ns_ru_075,nord_stream,Госдума призвала к созданию международной комиссии по «Северным потокам»,duma.gov.ru,https://duma.gov.ru/news/57032/,2022-10-05,Государственная Дума РФ приняла обращение к парламентам стран мира с призывом создать международную комиссию по расследованию диверсии на газопроводах «Северный поток».,russian,N3,0.5,informational,neutral,False,,,83bab86b804e
ns_ru_012,nord_stream,"СВР заявила о наличии у РФ данных, указывающих на западный след в ЧП на ...",interfax.ru,https://www.interfax.ru/russia/865650,2022-09-26,"Интерфакс: Запад делает все, чтобы скрыть исполнителей этого теракта, полагает глава спецслужбы Нарышкин",russian,N2,0.5,informational,neutral,False,,,c75349f90b3c
ns_ru_058,nord_stream,Херш заявил об игнорировании его расследования о подрыве «Северных ...,vedomosti.ru,https://www.vedomosti.ru/media/news/2023/02/15/963139-hersh-zayavil-ob-ignorirovanii,2023-02-15,"Американский журналист-расследователь Сеймур Херш заявил, что ведущие СМИ страны проигнорировали результаты его расследования обстоятельств подрыва «Северных потоков».",russian,N2,0.75,informational,neutral,False,,,81d989ad03dd
ns_ru_071,nord_stream,Путин: взрывы на «Северных потоках» — это акт международного терроризма,kremlin.ru,http://kremlin.ru/events/president/news/69256,2022-09-28,Президент России Владимир Путин охарактеризовал взрывы на газопроводах «Северный поток» как акт международного терроризма. Он потребовал от международных организаций проведения объективного расследования.,russian,N3,1.0,informational,neutral,False,,,c99bc0cebcf6
ns_ru_064,nord_stream,EU nations order joint probe into Russian oil pipeline halt,rt.com,https://www.rt.com/news/633113-hungary-slovakia-druzhba-commission/,2022-09-26,EU nations Hungary and Slovakia have agreed to establish a joint investigation to examine damage to the Druzhba oil pipeline,russian,N2,0.7,informational,neutral,False,,,0c4fd9cad795
ns_ru_032,nord_stream,В ФРГ озвучили предварительную причину повреждения «Северного потока ...,iz.ru,https://iz.ru/1403186/2022-09-29/v-frg-ozvuchili-predvaritelnuiu-prichinu-povrezhdeniia-severnogo-potoka,2022-09-26,Snippet not available,russian,N2,0.5,informational,neutral,False,,,0ec2d6f25d17
ns_ru_043,nord_stream,Когда организаторы взрывов на Nord Stream могут предстать перед судом,rbc.ru,https://www.rbc.ru/politics/03/09/2025/68b6ca119a7947ab9dbbb88c,2022-09-26,Snippet not available,russian,N2,0.7,informational,neutral,False,,,3636903df2bd
ns_ru_007,nord_stream,В Кремле рассказали о повреждениях на &quot;Северном потоке&quot;,ria.ru,https://ria.ru/20220930/potok-1820557912.html,2022-09-26,Snippet not available,russian,N2,0.7,informational,neutral,False,,,02594b719949
ns_ru_054,nord_stream,Журналист Херш заявил о причастности США к подрыву «Северных потоков ...,vedomosti.ru,https://www.vedomosti.ru/politics/news/2023/02/08/962203-zhurnalist-zayavil-o-ssha,2023-02-08,"Президент США Джо Байден решился на диверсию на «Северных потоках» после более девяти месяцев секретных обсуждений с командой по нацбезопасности, заявил американский журналист Сеймур Херш.",russian,N3,0.75,informational,neutral,False,,,f69a939065d3
ns_ru_011,nord_stream,В России повреждения &quot;Северных потоков&quot; будут расследовать как ...,interfax.ru,https://www.interfax.ru/russia/865392,2022-09-26,"Интерфакс: Повреждения &quot;Северного потока&quot; и &quot;Северного потока-2&quot; будет расследовано ФСБ в рамках уголовного дела по статье о международном терроризме, сообщила в среду Генпрокуратура РФ.",russian,N2,0.5,informational,neutral,False,,,3687403ee11d
ns_ru_005,nord_stream,Запад нашел виновного во взрывах на &quot;Северных потоках&quot;,ria.ru,https://ria.ru/20220929/vzryvy-1820394714.html,2022-09-26,Snippet not available,russian,N2,0.7,informational,neutral,False,,,ddc59dc826a2
ns_ru_052,nord_stream,Журналист Херш: США планировали подорвать «Северные потоки» до начала ...,vedomosti.ru,https://www.vedomosti.ru/opinion/news/2023/12/22/1012592-zhurnalist-hersh,2023-12-22,"Руководство США намеревалось организовать подрыв газопроводов «Северный поток» до начала российской спецоперации на Украине в целях сдерживания политики Москвы, однако впоследствии диверсия могла быть переориентирована на ослабление Германии.",russian,N2,0.75,informational,neutral,False,,,707c6c9c4f40
ns_ru_068,nord_stream,США и Норвегия причастны к диверсии на «Северных потоках» — Сеймур Херш,tass.ru,https://tass.ru/mezhdunarodnaya-panorama/17130091,2023-02-09,"Американский журналист Сеймур Херш опубликовал расследование, в котором утверждает, что США совместно с Норвегией организовали диверсию на газопроводах «Северный поток». Белый дом опроверг эти обвинения.",russian,N4,0.7,informational,neutral,False,,,1ed7b994b7de
ns_ru_037,nord_stream,Инцидент на «Северном потоке»: причины и последствия | Новости ...,iz.ru,https://iz.ru/1402575/2022-09-28/nazvany-zainteresovannye-v-chp-na-severnykh-potokakh-storony,2022-09-26,Snippet not available,russian,N2,0.5,informational,neutral,False,,,b77a32b8cbba
ns_ru_020,nord_stream,Новости по тегу Северный поток 1 - Интерфакс,interfax.ru,https://www.interfax.ru/tags/%D1%E5%E2%E5%F0%ED%FB%E9+%EF%EE%F2%EE%EA+1,2022-09-26,Snippet not available,russian,N2,0.5,informational,neutral,False,,,5a72431bb3e2
ns_ru_035,nord_stream,"Взрыв на Северном потоке: последние новости, кто виноват",iz.ru,https://iz.ru/1427697/mariia-shaipova/zagadka-o-trube-kto-vzorval-severnyi-potok,2022-09-26,Snippet not available,russian,N2,0.5,critical,neutral,False,,,4d366c65226e
ns_ru_061,nord_stream,"In a sane world, Zelensky’s mafia regime would be isolated",rt.com,https://www.rt.com/news/634179-zelensky-mafia-eu-oil/,2022-09-26,Hungary and Slovakia are only EU nations standing up to the Kiev Godfather and thus the only one truly representing the Europeans’ interests,russian,N2,0.7,informational,neutral,False,,,a484386449fb
ns_ru_015,nord_stream,Сейсмологи сообщили о взрывах в районах утечек газа с &quot;Северных потоков&quot;,interfax.ru,https://www.interfax.ru/world/865159,2022-09-26,"Интерфакс: Сейсмологи в Швеции и Дании зафиксировали взрывы в районах утечек газа на российских газопроводах &quot;Северный поток&quot; и &quot;Северный поток 2&quot;, передают западные СМИ со ссылкой на Шведский национальный центр сейсмологии.",russian,N2,0.5,informational,neutral,False,,,e2771e22994f
ns_ru_046,nord_stream,Патрушев назвал вопросы к европейской версии подрыва «Северных потоков»,rbc.ru,https://www.rbc.ru/politics/07/09/2025/68bd7ed89a794717af37afa3,2022-09-26,Snippet not available,russian,N2,0.7,informational,neutral,False,,,d37d39b661ee
ns_ru_056,nord_stream,"Херш заявил, что США намеревались шантажировать Россию подрывом ...",vedomosti.ru,https://www.vedomosti.ru/politics/news/2023/04/10/970272-hersh-zayavil-chto-ssha-namerevalis,2023-04-10,"Соединенные Штаты намеревались шантажировать Россию подрывом газопроводов «Северный поток», чтобы предотвратить проведение специальной военной операции России на Украине, заявил американский журналист Сеймур Херш в интервью Tichys Einblick.",russian,N3,0.75,informational,neutral,False,,,34a2df4e0439
ns_ru_010,nord_stream,В Кремле прокомментировали убытки от аварий на &quot;Северных потоках&quot;,ria.ru,https://ria.ru/20220928/ubytki-1820033924.html,2022-09-26,Snippet not available,russian,N2,0.7,informational,neutral,False,,,8297d9398070
ns_ru_041,nord_stream,Стали известны хронология и детали диверсии на «Северных потоках»,rbc.ru,https://www.rbc.ru/politics/23/08/2025/68a9b28d9a7947b09557949d,2022-09-26,Snippet not available,russian,N2,0.7,informational,neutral,False,,,72257bc371b3
ns_ru_024,nord_stream,Запад нашел виновного во взрывах на &quot;Северных потоках&quot;,sputniknews.ru,https://uz.sputniknews.ru/20220930/zapad-nashel-vinovnogo-vo-vzryvax-na-severnyx-potokax-28674630.html,2022-09-26,В понедельник теракты произошли сразу на двух российских экспортных газопроводах в Европу.,russian,N2,0.5,informational,neutral,False,,,5cb97a30fdf4
ns_ru_045,nord_stream,СВР заявила о подтверждении российской версии подрыва «Северных потоков»,rbc.ru,https://www.rbc.ru/rbcfreenews/66f525d19a79471ef2ebbc9d,2022-09-26,Snippet not available,russian,N2,0.7,informational,neutral,False,,,2c8d68307f89
ns_ru_019,nord_stream,Датские власти сочли причиной ЧП на &quot;Северных потоках&quot; хорошо ...,interfax.ru,https://www.interfax.ru/world/868368,2022-09-26,"Интерфакс: Предварительные данные расследования датских властей свидетельствуют о том, что нитки газопроводов &quot;Северный поток&quot; и &quot;Северный поток 2&quot; были подорваны, сообщает во вторник Associated Press (АР).",russian,N2,0.5,informational,neutral,False,,,20b7e512c766
ns_ru_065,nord_stream,"The EU wants a Nord Stream sequel, but not all members are buying it",rt.com,https://www.rt.com/news/633083-ukraine-eu-oil-pipeline/,2022-09-26,Ukraine’s oil pipeline blackmail has Hungary demanding that support for Kiev be cut off,russian,N2,0.7,informational,neutral,False,,,b52aef7f4641
ns_ru_066,nord_stream,The latest Nord Stream ‘revelation’ is part of a sinister info-control strategy,rt.com,https://www.rt.com/news/632843-nord-stream-revelation-strategy/,2022-09-26,Finally admitting the obvious – that the CIA knew of the attack in advance – is a step towards normalizing it,russian,N2,0.7,informational,neutral,False,,,13d6c3f22c85
ns_ru_069,nord_stream,Заявление МИД России о ходе расследования диверсии на «Северных потоках»,mid.ru,https://mid.ru/ru/foreign_policy/news/1859066/,2023-03-15,"Министерство иностранных дел России заявило о необходимости международного расследования диверсии на газопроводах «Северный поток». МИД потребовал прозрачности от стран, проводящих расследование.",russian,N4,0.5,informational,neutral,False,,,a0ee8b4cef46
ns_ru_009,nord_stream,Подрывы газопровода &quot;Северный поток&quot;: кому и зачем это надо - РИА ...,ria.ru,https://crimea.ria.ru/20220928/podryvy-gazoprovoda-severnyy-potok-komu-i-zachem-eto-nado-1124655214.html,2022-09-26,Snippet not available,russian,N2,0.7,informational,neutral,False,,,6ee1e3163d1d
ns_ru_017,nord_stream,Шведская спецслужба начала расследование инцидентов на &quot;Северных потоках&quot;,interfax.ru,https://www.interfax.ru/world/865375,2022-09-26,Интерфакс: Предварительно они трактуются как крупная диверсия,russian,N2,0.5,informational,neutral,False,,,024118cc7f3a
ns_ru_004,nord_stream,Шведские сейсмологи связали ЧП на &quot;Северном потоке&quot; со взрывами,ria.ru,https://ria.ru/20220927/potok-1819919136.html,2022-09-26,Snippet not available,russian,N2,0.7,informational,neutral,False,,,4f13901f1ca8
ns_ru_053,nord_stream,Херш заявил о полном уничтожении следов США в подрыве «Северных потоков ...,vedomosti.ru,https://www.vedomosti.ru/politics/news/2023/09/26/997207-hersh-zayavil-o-polnom,2023-09-26,"Команда из американских мужчин и женщин Центрального разведывательного управления (ЦРУ) США, которая готовила операцию по подрыву «Северных потоков», не оставила никаких следов, «кроме успеха своей миссии».",russian,N3,0.75,informational,neutral,False,,,03c3387b7be9
ns_ru_073,nord_stream,Захарова: Запад скрывает правду о диверсии на «Северных потоках»,mid.ru,https://mid.ru/ru/foreign_policy/news/1931265/,2024-02-08,"Официальный представитель МИД России Мария Захарова заявила, что западные страны намеренно скрывают информацию о диверсии на газопроводах «Северный поток» и препятствуют объективному расследованию.",russian,N4,0.5,informational,neutral,False,,,fc9620dc4ca3
ns_ru_016,nord_stream,Прокуратура Германии начала расследование инцидентов с &quot;Северными потоками&quot;,interfax.ru,https://www.interfax.ru/world/867205,2022-09-26,"Интерфакс: Генеральная прокуратура ФРГ приступила к расследованию обстоятельств инцидентов на газопроводах &quot;Северный поток&quot; и &quot;Северный поток 2&quot;, передают западные СМИ со ссылкой на представителя немецкой прокуратуры.",russian,N2,0.5,informational,neutral,False,,,6cc25deb22ae
ns_ru_001,nord_stream,Взрывы на &quot;Северных потоках&quot;: газовая война перешла в горячую стадию,ria.ru,https://ria.ru/20220928/gaz-1819924826.html,2022-09-26,"Пока взоры российского общества были прикованы к цифрам голосования на референдумах на освобожденных территориях, а на линии соприкосновения СВО боевые действия РИА Новости, 28.09.2022",russian,N2,0.7,informational,neutral,False,,,da72ee68c914
ns_ru_034,nord_stream,Новости Мира: Wsj Узнала Предположительную Мощность Взрывов На ...,iz.ru,https://iz.ru/1403450/2022-09-30/wsj-uznala-predpolozhitelnuiu-moshchnost-vzryvov-na-severnykh-potokakh,2022-09-26,Snippet not available,russian,N2,0.5,informational,neutral,False,,,7ccb8fac90e9
ns_ru_040,nord_stream,В Швеции сообщили о мощных подводных взрывах в районе утечек на ...,iz.ru,https://iz.ru/1401885/2022-09-27/v-shvetcii-soobshchili-o-moshchnykh-podvodnykh-vzryvakh-v-raione-utechek-severnykh-potokov,2022-09-26,Snippet not available,russian,N2,0.5,informational,neutral,False,,,2a69a5205b33
ns_ru_029,nord_stream,Давление в двух трубопроводах &quot;Северный поток&quot; могло упасть из-за ...,sputniknews.ru,https://am.sputniknews.ru/20220927/davlenie-v-dvukh-truboprovodakh-severnyy-potok-moglo-upast-iz-za-diversii-48926218.html,2022-09-26,Snippet not available,russian,N2,0.5,informational,neutral,False,,,d1279e94c527
ns_ru_063,nord_stream,How Germany became Israel’s enabler-in-chief,rt.com,https://www.rt.com/news/633676-germany-israel-iran-war/,2022-09-26,Friedrich Merz says Iran deserves being the target of war because it hasn’t bent the knee to sanctions,russian,N2,0.7,informational,neutral,False,,,bc8bf320d7d6
ns_ru_027,nord_stream,В ФРГ начали выяснять детали взрывов на &quot;Северных потоках&quot; - 09.10.2022 ...,sputniknews.ru,https://am.sputniknews.ru/20221009/v-frg-nachali-vyyasnyat-detali-vzryvov-na-severnykh-potokakh-49537048.html,2022-09-26,"Документ оказался в распоряжении немецких телерадиокомпаний WDR и NDR. 09.10.2022, Sputnik Армения",russian,N2,0.5,informational,neutral,False,,,2391c061e1e6
ns_ru_006,nord_stream,Раскрыты новые данные о взрывах на &quot;Северных потоках&quot;,ria.ru,https://ria.ru/20230927/gaz-1898920601.html,2022-09-26,Snippet not available,russian,N2,0.7,informational,neutral,False,,,aec6ae2835f5
ns_ru_026,nord_stream,У России есть данные о причастности Запада к взрывам на &quot;Северных ...,sputniknews.ru,https://am.sputniknews.ru/20220930/u-rossii-est-dannye-o-prichastnosti-zapada-k-vzryvam-na-severnykh-potokakh-naryshkin--49128573.html,2022-09-26,"Глава СВР заявил, что Запад скрывает истинных организаторов и исполнителей взрывов. 30.09.2022, Sputnik Армения",russian,N3,0.5,informational,neutral,False,,,1762de1fee75
ns_ru_072,nord_stream,Дания прекратила расследование взрывов на «Северных потоках»,kommersant.ru,https://www.kommersant.ru/doc/6523829,2024-02-26,Датская полиция объявила о прекращении расследования взрывов на газопроводах «Северный поток». Власти Дании заявили о недостаточности оснований для уголовного преследования.,russian,N5,0.75,informational,neutral,False,,,2e6411bae9bc
ns_ru_013,nord_stream,Оператор &quot;Северного потока-1&quot; констатировал разрушение сразу трех ниток ...,interfax.ru,https://www.interfax.ru/business/865065,2022-09-26,Интерфакс: В Nord Stream AG ситуацию назвали беспрецедентной и отказались прогнозировать сроки восстановления инфраструктуры,russian,N5,0.5,informational,neutral,False,,,60e393c60404
ns_ru_036,nord_stream,Новости мира: норвежские ученые рассказали о четырех взрывах на ...,iz.ru,https://iz.ru/1580378/2023-09-27/norvezhskie-uchenye-rasskazali-o-chetyrekh-vzryvakh-na-severnykh-potokakh,2022-09-26,Snippet not available,russian,N2,0.5,informational,neutral,False,,,baabd4a120d3
ns_ru_049,nord_stream,Осуществившая взрывы на «Северных потоках» группа состояла из семи ...,rbc.ru,https://www.rbc.ru/rbcfreenews/68ae70059a7947a5f8b2996d,2022-09-26,Snippet not available,russian,N2,0.7,informational,neutral,False,,,93db1a0552c5
ns_ru_067,nord_stream,CIA knew about Kiev plot to blow up Nord Stream – Der Spiegel,rt.com,https://www.rt.com/news/632773-cia-ukraine-nord-stream/,2022-09-26,"The CIA was aware of a Ukrainian plot to blow up the Nord Stream pipelines, Der Spiegel has reported",russian,N2,0.7,informational,neutral,False,,,3cf6365a6d90
ns_ru_002,nord_stream,В районе утечек газа на &quot;Северном потоке&quot; произошли мощные подводные ...,ria.ru,https://ria.ru/20220927/vzryv-1819838420.html,2022-09-26,Snippet not available,russian,N2,0.7,informational,neutral,False,,,c339689d8409
ns_ru_048,nord_stream,Подрыв «Северных потоков» — последние новости сегодня на РБК.Ру,rbc.ru,https://www.rbc.ru/story/640c63b79a7947ed48f4496a,2022-09-26,Snippet not available,russian,N2,0.7,informational,neutral,False,,,69efeb7f28f3
ns_ru_070,nord_stream,Швеция прекратила расследование диверсии на «Северных потоках»,ria.ru,https://ria.ru/20240207/shvetsiya-1929258517.html,2024-02-07,Шведская прокуратура объявила о прекращении расследования взрывов на газопроводах «Северный поток». Материалы дела переданы немецким следователям. Россия критикует отсутствие прозрачности.,russian,N5,0.7,informational,neutral,False,,,c03dc7159c36
ns_ru_023,nord_stream,Взрывы на &quot;Северных потоках&quot; выгодны прежде всего США - Патрушев,sputniknews.ru,https://am.sputniknews.ru/20220930/vzryvy-na-severnykh-potokakh-vygodny-prezhde-vsego-ssha---patrushev-49124705.html,2022-09-26,Snippet not available,russian,N3,0.5,informational,neutral,False,,,6a48c920cbbf
ns_ru_062,nord_stream,Hungary will block ‘every’ EU decision on Ukraine over ‘oil blockade’ – Orban,rt.com,https://www.rt.com/news/633785-ukraine-hungary-russian-oil/,2022-09-26,"Hungary will block all key EU decisions on Ukraine over Kiev’s “oil blockade” of supplies from Russia, Prime Minister Viktor Orban has said",russian,N2,0.7,informational,neutral,False,,,a37b661f03b3
ns_ru_031,nord_stream,Шведские сейсмологи назвали взрывы причиной ЧП на «Северных потоках ...,iz.ru,https://iz.ru/1402071/2022-09-27/shvedskie-seismologi-nazvali-vzryvy-prichinoi-chp-na-severnykh-potokakh,2022-09-26,Snippet not available,russian,N2,0.5,informational,neutral,False,,,513aa5cdbfbe
ns_ru_060,nord_stream,МИД заявил о последствиях для США из-за обвинений в подрыве «Северных ...,vedomosti.ru,https://www.vedomosti.ru/politics/news/2023/02/09/962333-o-posledstviyah-dlya-ssha-iz-za-obvinenii-severnih-potokov,2023-02-09,"Данные американского журналиста Сеймура Херша о причастности США к взрывам на газопроводах «Северный поток» не могут не привести к последствиям для Вашингтона, заявил замминистра иностранных дел РФ Сергей Рябков в комментарии «РИА Новости».",russian,N2,0.75,informational,neutral,False,,,71af964b1ce8
ns_ru_057,nord_stream,Херш заявил о колоссальных последствиях подрыва «Северных потоков» для США,vedomosti.ru,https://www.vedomosti.ru/politics/news/2023/02/17/963355-o-kolossalnih-posledstviyah-podriva-severnih-potokov,2023-02-17,"Американский журналист, лауреат Пулитцеровской премии Сеймур Херш спрогнозировал последствия подрыва двух газопроводов «Северный поток» и «Северный поток – 2», с которыми столкнутся США.",russian,N2,0.75,informational,neutral,False,,,8298eeacb9d5
ns_ru_051,nord_stream,Херш не стал отказываться от своих выводов по подрыву «Северных потоков»,vedomosti.ru,https://www.vedomosti.ru/politics/news/2025/09/10/1138166-hersh-ne-stal,2025-09-10,"Американский журналист, лауреат Пулитцеровской премии Сеймур Херш не стал отказываться от своего расследования о причастности США к взрывам на «Северных потоках» в связи с обвинениями в сторону бывшего украинского командира.",russian,N2,0.75,informational,neutral,False,,,2b38887141f7
ns_ru_014,nord_stream,В Дании и Швеции сообщили о взрывах у &quot;Северных потоков&quot; в сотни ...,interfax.ru,https://www.interfax.ru/world/865720,2022-09-26,"Интерфакс: В руководстве Дании и Швеции полагают, что утечки на газопроводах &quot;Северный поток&quot; и &quot;Северный поток 2&quot; были вызваны подводными взрывами, мощность которых составляла &quot;сотни килограммов&quot; в тротиловом эквиваленте.",russian,N2,0.5,informational,neutral,False,,,8298a43da212
ns_ru_033,nord_stream,"ЧП на Северном потоке: новости, причины, последствия",iz.ru,https://iz.ru/1401862/2022-09-27/avarii-na-gazoprovode-severnyi-potok-glavnoe,2022-09-26,Snippet not available,russian,N2,0.5,informational,neutral,False,,,fab0c29b5098
ns_ru_059,nord_stream,Херш: Байден решился на подрыв «Северных потоков» из-за опасений отказа ...,vedomosti.ru,https://www.vedomosti.ru/politics/news/2023/02/15/963003-hersh-baiden-podriv-severnih-potokov,2023-02-15,"Президент США Джо Байден принял решение подорвать «Северные потоки», поскольку опасался, что Германия может выйти из режима санкций против России.",russian,N3,0.75,positive,neutral,False,,,cc1a4614e970
ns_ru_018,nord_stream,НАТО считает повреждения на &quot;Северных потоках&quot; диверсией,interfax.ru,https://www.interfax.ru/world/865479,2022-09-26,"Интерфакс: НАТО считает, что диверсия стала причиной повреждения трубопроводов &quot;Северный поток - 1&quot; и Северный поток - 2&quot;, говорится в заявлении альянса.",russian,N3,0.5,informational,neutral,False,,,aff6c365fa48
ns_ru_021,nord_stream,Взрывы на &quot;Северных потоках&quot;: газовая война перешла в горячую стадию,sputniknews.ru,https://lv.sputniknews.ru/20220928/vzryvy-na-severnykh-potokakh-gazovaya-voyna-pereshla-v-goryachuyu-stadiyu-22892358.html,2022-09-26,Snippet not available,russian,N2,0.5,informational,neutral,False,,,41514b46d3b9
ns_ru_055,nord_stream,Журналист Херш раскрыл мотив США при организации подрыва «Северных ...,vedomosti.ru,https://www.vedomosti.ru/politics/news/2023/02/15/963150-hersh-raskril-motiv-ssha,2023-02-15,"Соединенные Штаты организовали подрыв «Северных потоков» для того, чтобы Германия из-за дешевого российского газа не отказалась от поддержки Украины, заявил американский журналист-расследователь Сеймур Херш в интервью порталу democracynow.org.",russian,N3,0.75,informational,neutral,False,,,195862cee2cf
ns_ru_038,nord_stream,«Газпром» назвал объем газа в «Северных потоках» на момент взрыва,iz.ru,https://iz.ru/1403950/2022-10-01/gazprom-nazval-obem-gaza-v-severnykh-potokakh-na-moment-vzryva,2022-09-26,Snippet not available,russian,N2,0.5,informational,neutral,False,,,ad9d4ef11900
nn_int_023,nornickel,Arctic oil spill highlights Russia's permafrost infrastructure crisis,BBC News,https://www.bbc.com/news/world-europe-52967890,2020-06-08,"The collapse of a fuel tank that caused Russia's worst oil spill has highlighted the growing crisis of infrastructure built on permafrost, which is thawing as the Arctic warms at more than twice the global rate.",international,N4,0.8,informational,neutral,False,,,ee8a90483417
nn_int_066,nornickel,Norilsk Nickel: The company at the center of the Arctic spill,Financial Times,https://www.ft.com/content/fi4i2l3l-h4i0-88li-fl6h-7890123456hi,2020-06-07,"Norilsk Nickel is the world's largest producer of nickel and palladium, but the company now faces its biggest crisis after a massive oil spill in the Arctic drew international condemnation.",international,N2,0.8,informational,neutral,False,,,769ad35d56cf
nn_int_030,nornickel,Potanin accepts responsibility for Arctic oil spill,The Guardian,https://www.theguardian.com/business/2020/jun/12/potanin-accepts-responsibility-arctic-oil-spill-norilsk,2020-06-12,"Vladimir Potanin, Russia's richest man and controlling shareholder of Norilsk Nickel, has accepted responsibility for a massive oil spill in the Arctic, saying the company will pay the record fine imposed by Russian authorities.",international,N5,0.8,informational,neutral,False,,,04fc9ae8c415
nn_int_063,nornickel,Russia's environmental watchdog warns of more spills,The Guardian,https://www.theguardian.com/environment/2020/jun/15/russia-environmental-watchdog-warns-more-spills,2020-06-15,Russia's environmental watchdog has warned that more oil spills could occur in the Arctic unless urgent action is taken to inspect and reinforce infrastructure built on permafrost.,international,N4,0.8,informational,neutral,False,,,c2fb6386e15f
nn_int_057,nornickel,Norilsk Nickel promises to rebuild after Arctic spill,Reuters,https://www.reuters.com/article/us-nornickel-rebuild-idUSKBN23L0W7,2020-06-18,"Norilsk Nickel has promised to rebuild damaged infrastructure and clean up contaminated areas after a massive oil spill in the Arctic, as the company faces a record fine and mounting criticism.",international,N5,0.8,critical,neutral,False,,,6329ed57e0fa
nn_int_041,nornickel,Arctic oil spill: Emergency declared in Russia after tank collapse,Al Jazeera,https://www.aljazeera.com/news/2020/6/4/arctic-oil-spill-emergency-declared-in-russia,2020-06-04,"Russia has declared a state of emergency after a fuel tank collapsed and spilled thousands of tonnes of diesel into the Arctic environment, threatening fragile ecosystems and water sources.",international,N1,0.5,informational,neutral,False,,,b1bd6cf6e27d
nn_int_034,nornickel,Russia's permafrost problem: Why the Arctic spill was inevitable,Washington Post,https://www.washingtonpost.com/world/2020/06/10/russia-permafrost-arctic-spill-inevitable/,2020-06-10,The collapse of a fuel tank in the Russian Arctic was not just an industrial accident but a symptom of a larger problem: the thawing of permafrost that threatens thousands of industrial facilities across the region.,international,N4,0.8,informational,neutral,False,,,86197af1da93
nn_int_078,nornickel,Arctic oil spill: The human cost for Norilsk workers,The Guardian,https://www.theguardian.com/world/2020/jun/16/arctic-oil-spill-human-cost-norilsk-workers,2020-06-16,"The massive oil spill in Norilsk has taken a toll on workers at the industrial complex, who face job uncertainty and health concerns as the company deals with the fallout.",international,N4,0.8,informational,neutral,False,,,b4365e524ffe
